# Pharos pharos.watch | Endpoint: depeg-history | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/depeg-history/latest.csv | Methodology: depeg-dews v6.0 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,stablecoinId,symbol,direction,peakDeviationBps,startedAtISO,endedAtISO,durationSec,startPrice,peakPrice,recoveryPrice,pegReference,source
89788,msusd-main-street,MSUSD,below,-100,2026-05-03T06:19:40.000Z,2026-05-03T06:49:32.000Z,1792,0.9899517101802275,0.9899517101802275,1.004,0.9999278135307988,live
89787,pmusd-precious-metals,pmUSD,below,-5568,2026-05-02T00:48:56.000Z,,,0.9884318094485448,0.4431811662414395,,0.99996,live
89786,alusd-alchemix,ALUSD,below,-380,2026-05-01T16:04:54.000Z,,,0.990037,0.961803,,1,live
89785,alusd-alchemix,ALUSD,below,-101,2026-05-01T14:49:33.000Z,2026-05-01T15:04:35.000Z,902,0.989713,0.989713,0.990034,0.9997735,live
89784,alusd-alchemix,ALUSD,below,-101,2026-05-01T13:35:08.000Z,2026-05-01T14:34:38.000Z,3570,0.9897084855087367,0.9897084855087367,0.990053821484866,0.9998048243992527,live
89783,alusd-alchemix,ALUSD,below,-101,2026-05-01T12:04:44.000Z,2026-05-01T12:34:19.000Z,1775,0.989798,0.989798,0.9903,0.9998998649999999,live
89782,alusd-alchemix,ALUSD,below,-100,2026-04-30T20:34:22.000Z,2026-04-30T21:19:16.000Z,2694,0.98974069838493,0.98974069838493,0.990329,0.9997560136059457,live
89781,alusd-alchemix,ALUSD,below,-100,2026-04-30T18:49:05.000Z,2026-04-30T19:34:08.000Z,2703,0.989717,0.989717,0.9898160176250821,0.9997068230158692,live
89780,alusd-alchemix,ALUSD,below,-100,2026-04-30T18:19:25.000Z,2026-04-30T18:34:13.000Z,888,0.989684,0.989684,0.989743,0.9996695435368311,live
89779,alusd-alchemix,ALUSD,below,-100,2026-04-30T16:49:51.000Z,2026-04-30T17:19:03.000Z,1752,0.989811,0.989811,0.989803,0.99981933,live
89778,alusd-alchemix,ALUSD,below,-100,2026-04-30T14:34:36.000Z,2026-04-30T14:49:04.000Z,868,0.98981,0.98981,0.990067,0.999763513044045,live
89777,alusd-alchemix,ALUSD,below,-100,2026-04-28T07:19:08.000Z,2026-04-28T07:34:44.000Z,936,0.989904,0.989904,0.989963355,0.9998739992994232,live
89983,xnk-kinka,XNK,above,166,2026-04-28T00:00:57.000Z,2026-04-28T02:00:57.000Z,7200,4695.054959269781,4696.350851051238,4683.2031768365005,4622.011389297736,backfill
89776,alusd-alchemix,ALUSD,below,-105,2026-04-27T22:34:57.000Z,2026-04-27T23:19:50.000Z,2693,0.9893134026746071,0.9893134026746071,0.989914,0.9998020000000001,live
89775,alusd-alchemix,ALUSD,below,-107,2026-04-27T18:34:44.000Z,2026-04-27T21:49:50.000Z,11706,0.9892012077862886,0.989186,0.9899255775406224,0.9997464925987835,live
89774,dola-inverse-finance,DOLA,below,-102,2026-04-27T17:34:50.000Z,2026-04-27T18:19:37.000Z,2687,0.989622,0.989622,0.991183,0.9997856100973673,live
89773,alusd-alchemix,ALUSD,below,-109,2026-04-27T06:49:09.000Z,2026-04-27T17:34:50.000Z,38741,0.989477,0.988999,0.9900720624770764,0.9998486986429798,live
89772,alusd-alchemix,ALUSD,below,-100,2026-04-26T17:04:20.000Z,2026-04-26T17:34:22.000Z,1802,0.989991,0.989991,0.9902753571911742,0.9999431383206551,live
89771,pmusd-precious-metals,pmUSD,below,-108,2026-04-26T14:04:19.000Z,2026-04-26T23:19:59.000Z,33340,0.9899591771136548,0.9892281342540036,0.990416,0.9999113173818672,live
89770,pmusd-precious-metals,pmUSD,below,-100,2026-04-26T13:34:50.000Z,2026-04-26T13:49:19.000Z,869,0.989936361425095,0.989936361425095,0.9899363776064978,0.9999046,live
89769,alusd-alchemix,ALUSD,below,-103,2026-04-26T12:49:36.000Z,2026-04-26T15:34:23.000Z,9887,0.989687,0.989639,0.9899304865183879,0.9998267411130537,live
89767,alusd-alchemix,ALUSD,below,-104,2026-04-26T11:03:53.000Z,2026-04-26T11:48:52.000Z,2699,0.98959913,0.989452345,1.000380762454665,0.9999015550470175,live
89768,dola-inverse-finance,DOLA,below,-103,2026-04-26T10:49:07.000Z,2026-04-26T11:34:11.000Z,2704,0.989570664382009,0.989570664382009,0.990716,0.999904,live
89766,alusd-alchemix,ALUSD,below,-104,2026-04-26T08:48:54.000Z,2026-04-26T10:33:51.000Z,6297,0.98954199,0.98959988,1.001,0.999826168398138,live
89765,alusd-alchemix,ALUSD,below,-111,2026-04-26T00:49:25.000Z,2026-04-26T07:33:58.000Z,24273,0.9888701,0.98892343,0.9901338311580922,0.9997608238919383,live
89764,alusd-alchemix,ALUSD,below,-108,2026-04-25T21:34:57.000Z,2026-04-25T23:34:50.000Z,7193,0.989231,0.989083,0.9947,0.9998220424465228,live
89763,dola-inverse-finance,DOLA,below,-104,2026-04-25T16:34:51.000Z,2026-04-25T17:04:29.000Z,1778,0.989509,0.989509,0.9907816606444448,0.9998665724826563,live
89762,uty-xsy,UTY,above,296,2026-04-25T14:49:19.000Z,2026-04-25T15:49:21.000Z,3602,1.029346,1.029346,0.999422251443887,0.9997897247802325,live
89761,alusd-alchemix,ALUSD,below,-115,2026-04-25T02:34:52.000Z,2026-04-25T21:19:37.000Z,67485,0.989259,0.98833383,0.994536,0.999773940859274,live
89760,alusd-alchemix,ALUSD,below,-105,2026-04-25T01:04:33.000Z,2026-04-25T01:49:25.000Z,2692,0.989259,0.989259,0.991618811432208,0.9997827730133063,live
89759,alusd-alchemix,ALUSD,below,-105,2026-04-24T21:33:57.000Z,2026-04-24T22:19:36.000Z,2739,0.989261,0.989261,0.991198,0.9997643170605564,live
89758,alusd-alchemix,ALUSD,below,-105,2026-04-24T16:19:18.000Z,2026-04-24T16:34:42.000Z,924,0.989261,0.989261,0.993636,0.9997616618506321,live
89757,pmusd-precious-metals,pmUSD,below,-101,2026-04-24T14:49:18.000Z,2026-04-24T17:04:26.000Z,8108,0.989808,0.989693,0.995294,0.9997566958371145,live
89756,alusd-alchemix,ALUSD,below,-104,2026-04-24T11:04:21.000Z,2026-04-24T11:19:19.000Z,898,0.989356,0.989356,0.994901,0.9997631235843474,live
89755,alusd-alchemix,ALUSD,below,-105,2026-04-24T09:49:10.000Z,2026-04-24T10:49:28.000Z,3618,0.989356,0.989356,0.9934352753134793,0.9998451571154087,live
89754,alusd-alchemix,ALUSD,below,-106,2026-04-24T09:04:15.000Z,2026-04-24T09:19:38.000Z,923,0.989356,0.989356,0.993572,0.999925,live
89753,alusd-alchemix,ALUSD,below,-103,2026-04-24T07:19:15.000Z,2026-04-24T08:04:16.000Z,2701,0.989552,0.989552,0.994675,0.9997917098684208,live
89752,alusd-alchemix,ALUSD,below,-104,2026-04-24T01:34:05.000Z,2026-04-24T03:34:33.000Z,7228,0.9895325707134833,0.9895325707134833,0.9902395428973316,0.9998966300000001,live
89751,alusd-alchemix,ALUSD,below,-103,2026-04-24T00:34:34.000Z,2026-04-24T01:19:07.000Z,2673,0.989644,0.989559,0.989911,0.9998372005232151,live
89750,alusd-alchemix,ALUSD,below,-101,2026-04-24T00:04:29.000Z,2026-04-24T00:19:02.000Z,873,0.989786,0.989786,0.9902258411597733,0.999861,live
89749,alusd-alchemix,ALUSD,below,-100,2026-04-23T21:34:06.000Z,2026-04-23T22:34:17.000Z,3611,0.9898109736159835,0.9898109736159835,0.9900230094489357,0.9998107276248822,live
